Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,60168,2020,1,1,,,
IDCJAC0010,60168,2020,1,2,,,
IDCJAC0010,60168,2020,1,3,,,
IDCJAC0010,60168,2020,1,4,,,
IDCJAC0010,60168,2020,1,5,,,
IDCJAC0010,60168,2020,1,6,,,
IDCJAC0010,60168,2020,1,7,,,
IDCJAC0010,60168,2020,1,8,,,
IDCJAC0010,60168,2020,1,9,,,
IDCJAC0010,60168,2020,1,10,,,
IDCJAC0010,60168,2020,1,11,,,
IDCJAC0010,60168,2020,1,12,,,
IDCJAC0010,60168,2020,1,13,,,
IDCJAC0010,60168,2020,1,14,,,
IDCJAC0010,60168,2020,1,15,,,
IDCJAC0010,60168,2020,1,16,,,
IDCJAC0010,60168,2020,1,17,,,
IDCJAC0010,60168,2020,1,18,,,
IDCJAC0010,60168,2020,1,19,,,
IDCJAC0010,60168,2020,1,20,,,
IDCJAC0010,60168,2020,1,21,,,
IDCJAC0010,60168,2020,1,22,,,
IDCJAC0010,60168,2020,1,23,,,
IDCJAC0010,60168,2020,1,24,,,
IDCJAC0010,60168,2020,1,25,,,
IDCJAC0010,60168,2020,1,26,,,
IDCJAC0010,60168,2020,1,27,,,
IDCJAC0010,60168,2020,1,28,,,
IDCJAC0010,60168,2020,1,29,,,
IDCJAC0010,60168,2020,1,30,,,
IDCJAC0010,60168,2020,1,31,,,
IDCJAC0010,60168,2020,2,1,,,
IDCJAC0010,60168,2020,2,2,,,
IDCJAC0010,60168,2020,2,3,,,
IDCJAC0010,60168,2020,2,4,,,
IDCJAC0010,60168,2020,2,5,,,
IDCJAC0010,60168,2020,2,6,,,
IDCJAC0010,60168,2020,2,7,,,
IDCJAC0010,60168,2020,2,8,,,
IDCJAC0010,60168,2020,2,9,,,
IDCJAC0010,60168,2020,2,10,,,
IDCJAC0010,60168,2020,2,11,,,
IDCJAC0010,60168,2020,2,12,,,
IDCJAC0010,60168,2020,2,13,,,
IDCJAC0010,60168,2020,2,14,,,
IDCJAC0010,60168,2020,2,15,,,
IDCJAC0010,60168,2020,2,16,,,
IDCJAC0010,60168,2020,2,17,,,
IDCJAC0010,60168,2020,2,18,,,
IDCJAC0010,60168,2020,2,19,,,
IDCJAC0010,60168,2020,2,20,,,
IDCJAC0010,60168,2020,2,21,,,
IDCJAC0010,60168,2020,2,22,,,
IDCJAC0010,60168,2020,2,23,,,
IDCJAC0010,60168,2020,2,24,,,
IDCJAC0010,60168,2020,2,25,,,
IDCJAC0010,60168,2020,2,26,,,
IDCJAC0010,60168,2020,2,27,,,
IDCJAC0010,60168,2020,2,28,,,
IDCJAC0010,60168,2020,2,29,,,
IDCJAC0010,60168,2020,3,1,,,
IDCJAC0010,60168,2020,3,2,,,
IDCJAC0010,60168,2020,3,3,,,
IDCJAC0010,60168,2020,3,4,,,
IDCJAC0010,60168,2020,3,5,,,
IDCJAC0010,60168,2020,3,6,,,
IDCJAC0010,60168,2020,3,7,,,
IDCJAC0010,60168,2020,3,8,,,
IDCJAC0010,60168,2020,3,9,,,
IDCJAC0010,60168,2020,3,10,,,
IDCJAC0010,60168,2020,3,11,,,
IDCJAC0010,60168,2020,3,12,,,
IDCJAC0010,60168,2020,3,13,,,
IDCJAC0010,60168,2020,3,14,,,
IDCJAC0010,60168,2020,3,15,,,
IDCJAC0010,60168,2020,3,16,,,
IDCJAC0010,60168,2020,3,17,,,
IDCJAC0010,60168,2020,3,18,,,
IDCJAC0010,60168,2020,3,19,,,
IDCJAC0010,60168,2020,3,20,,,
IDCJAC0010,60168,2020,3,21,,,
IDCJAC0010,60168,2020,3,22,,,
IDCJAC0010,60168,2020,3,23,,,
IDCJAC0010,60168,2020,3,24,,,
IDCJAC0010,60168,2020,3,25,,,
IDCJAC0010,60168,2020,3,26,,,
IDCJAC0010,60168,2020,3,27,,,
IDCJAC0010,60168,2020,3,28,,,
IDCJAC0010,60168,2020,3,29,,,
IDCJAC0010,60168,2020,3,30,,,
IDCJAC0010,60168,2020,3,31,,,
IDCJAC0010,60168,2020,4,1,,,
IDCJAC0010,60168,2020,4,2,,,
IDCJAC0010,60168,2020,4,3,,,
IDCJAC0010,60168,2020,4,4,,,
IDCJAC0010,60168,2020,4,5,,,
IDCJAC0010,60168,2020,4,6,,,
IDCJAC0010,60168,2020,4,7,,,
IDCJAC0010,60168,2020,4,8,,,
IDCJAC0010,60168,2020,4,9,,,
IDCJAC0010,60168,2020,4,10,,,
IDCJAC0010,60168,2020,4,11,,,
IDCJAC0010,60168,2020,4,12,,,
IDCJAC0010,60168,2020,4,13,,,
IDCJAC0010,60168,2020,4,14,,,
IDCJAC0010,60168,2020,4,15,,,
